Country,IFF,VoiceAcct,PoliStabNoViolence,GovtEffect,RegQua,RuleofLaw,ContofCorrup,undp_hdi,hdi_life_exp,hdi_educ,hdi_income,vulnerable_employment,aid_percentage_gni,pop,gdppc,urban,lifeexp,Year
Nicaragua,228,-0.439285934,-0.305793792,-0.966554761,-0.435356438,-0.786913633,-0.727106392,0.617,0.803,0.513,0.57,45.34,8.217767,5745538,4477.41,56.721,72.167,0
Niger,94,-0.737894237,-1.150037766,-0.707001507,-0.525119126,-0.491859823,-0.611198545,0.304,0.752,0.618,0.623,47.58,3.8,15400000,619,16,55,0
Nigeria,2481,-0.848863244,-1.994553804,-1.204816937,-0.760188282,-1.156107783,-1.041885853,0.49,0.468,0.438,0.573,84.03999,0.5911025,154324939,4690.379,42.588,50.422,0
North Macedonia,493,0.168129861,-0.298555881,-0.135823324,0.194719598,-0.291893154,-0.146806985,0.739,0.838,0.657,0.733,22.93,2.079605,2069093,10995.1,57.117,74.484,0
Oman,1446,-1.074036837,0.826832592,0.379322559,0.526367486,0.549425185,0.327373415,0.708,0.752,0.618,0.623,47.58,3.8,2920000,16234,76,76,0
Pakistan,2763,-0.855763972,-2.64452672,-0.807771325,-0.584045112,-0.838977218,-1.075625777,0.508,0.692,0.339,0.558,61.77,1.546831,175525610,3930.508,34.793,64.969,0
Panama,890,0.591262817,0.062279519,0.106149197,0.396906674,-0.097268507,-0.327103823,0.58,0.752,0.618,0.623,47.58,3.8,3410676,9934,75,76,0
Papua New Guinea,740,-0.010510932,-0.790807426,-0.751196206,-0.578488111,-0.912058353,-1.242565989,0.466,0.752,0.618,0.623,47.58,3.8,6187591,2101,13,65,0
Paraguay,272,-0.134577692,-0.883586049,-0.916107237,-0.409247994,-0.857977033,-0.788950503,0.681,0.807,0.576,0.68,44.86,0.7598345,6163970,9503.267,58.937,72.45,0
Peru,3171,0.083490424,-1.180047989,-0.492372304,0.36664179,-0.624266803,-0.332539886,0.718,0.833,0.656,0.676,50.97,0.3909272,28792663,9368.046,76.241,74.12,0
Philippines,9822,-0.027749272,-1.728763223,0.034502875,-0.112535633,-0.574997306,-0.78673923,0.665,0.764,0.615,0.625,42.93,0.1728946,92414161,5606.591,45.371,69.667,0
Poland,32217,1.026872396,0.938135386,0.516206503,0.976622403,0.645846784,0.43509984,0.834,0.862,0.822,0.818,18.62,0,38151603,23064.95,61.004,75.6951,0
Qatar,2032,-1.003494263,1.223285079,0.961149216,0.682819784,0.902352452,1.55867815,0.841,0.907,0.657,1,0.26,0,1654944,89954.84,98.336,78.945,0
Romania,8507,0.464297265,0.359366298,-0.371620506,0.617714942,0.053940374,-0.309800476,0.806,0.826,0.786,0.805,31.36,0,20367487,21002.28,53.698,73.3098,0
Russian Federation,23266,-0.899923682,-0.969926596,-0.495853245,-0.288328469,-0.80649823,-1.141306877,0.773,0.74,0.763,0.817,7.32,0,142785349,22939.69,73.642,68.6846,0
Rwanda,33,-1.292025685,-0.506896436,-0.276193976,-0.335741609,-0.504221857,0.108438961,0.477,0.648,0.416,0.402,78.34,16.58077,9782770,1441,16.93,62.129,0
Samoa,14,0.539696217,0.957884192,0.05876188,-0.241460204,0.668311,0.153789654,0.58,0.752,0.618,0.623,47.58,3.8,180000,2507,18,73,0
Saudi Arabia,9155,-1.822262764,-0.492535233,-0.101208657,0.159869671,0.045110777,-0.020552717,0.752,0.752,0.618,0.623,47.58,3.8,27362214,19161,88,75,0
Senegal,481,-0.269090444,-0.205201,-0.554416418,-0.324280888,-0.367224395,-0.490049094,0.461,0.671,0.294,0.498,71.24,6.372218,12335092,2780.613,43.359,63.607,0
Seychelles,74.2,0.039897081,0.59813714,0.655157924,-0.006883712,0.117766954,0.575691283,0.798,0.752,0.618,0.623,47.58,3.8,87400,13633,56,74,0
Sierra Leone,81.6,-0.241323814,-0.289030254,-1.200726509,-0.805877388,-0.914634764,-0.942291141,0.394,0.438,0.342,0.409,88.92,16.78406,6272735,1372.392,38.466,48.468,0
Solomon Islands,13,0.137840137,0.215018734,-1.144396901,-1.220026255,-0.675235212,-0.281599671,0.515,0.752,0.618,0.623,47.58,3.8,566000,1701,18,71,0
South Africa,10113,0.570525587,-0.11449261,0.313202083,0.449182034,0.072423071,0.125426695,0.655,0.561,0.694,0.723,10.09,0.3712916,50477013,12262.14,61.687,56.46,0
Sri Lanka,1512,-0.480314404,-1.340903044,-0.146724001,-0.294943988,-0.101635471,-0.396393329,0.749,0.851,0.738,0.67,39.79,1.458557,20123508,8507.593,18.242,75.286,0
Suriname,110,0.444832087,0.147267401,-0.079284132,-0.612616003,-0.124648117,-0.260273784,0.704,0.752,0.618,0.623,47.58,3.8,501999,8313,71,71,0
Tanzania,521,-0.160290316,0.089181244,-0.629556417,-0.470705569,-0.48013407,-0.447849065,0.474,0.579,0.41,0.447,87.41,10.8645,43073830,1943.041,27.439,57.666,0
