Country,IFF,VoiceAcct,PoliStabNoViolence,GovtEffect,RegQua,RuleofLaw,ContofCorrup,undp_hdi,hdi_life_exp,hdi_educ,hdi_income,vulnerable_employment,aid_percentage_gni,pop,gdppc,urban,lifeexp,Year
VietNam,15717,-1.366399527,0.250577271,-0.255635917,-0.652517498,-0.51548928,-0.482674778,0.681,0.846,0.614,0.608,62.65,2.492971,90752593,5815.175,32.429,75.006,4
Yemen,330,-0.306289643,-1.321799397,-0.735528409,-0.582843363,-0.666100204,-0.61886847,0.509,0.708,0.345,0.542,42.42,2.693367,25147112,3938.891,33.559,66.016,4
Zambia,379,-0.106042102,0.435933292,-0.521591067,-0.494722933,-0.261999786,-0.315542519,0.557,0.611,0.532,0.532,78.28999,4.259273,14926551,3399.702,40.865,59.746,4
Zimbabwe,129,-1.386219621,-0.665949762,-1.30902648,-1.854898691,-1.5872612,-1.419667006,0.537,0.568,0.55,0.496,65.74,4.807527,13350378,3176.829,32.654,56.897,4
Afghanistan,14.16666667,-1.135439992,-2.411068439,-1.362318277,-1.124133706,-1.437044501,-1.364742875,0.479,0.777,0.629,0.66,43.917,5.53,28803167,2100,27,60,5
Albania,593,0.1437774,0.485986233,-0.048802413,0.279037684,-0.310979843,-0.586141348,0.732,0.777,0.629,0.66,43.917,5.53,2889065,4579,56.24,78.41,5
Algeria,6900,-0.813357711,-1.190535188,-0.336888343,-1.30188942,-0.804205596,-0.612656415,0.736,0.86,0.652,0.71,26.96,0.0768549,38923688,11512.71,70.221,75.878,5
Angola,1692,-1.145230174,-0.333232045,-1.055083632,-0.860683441,-1.074789524,-1.457798243,0.533,0.777,0.629,0.66,43.917,5.53,20116000,4104,59.48,51,5
Antigua and Barbuda,62,0.558731198,0.984550714,-0.070714049,0.529373944,-0.175930172,0.634897768,0.781,0.777,0.629,0.66,43.917,5.53,86754,18104,26,74,5
Argentina,5709,0.34533906,-0.005121871,-0.109243862,-1.066149592,-0.866434515,-0.549443066,0.827,0.777,0.629,0.66,43.917,5.53,40117096,12245.3,92.2,76.16,5
Armenia,189,-0.562072694,-0.2971358,-0.251768827,0.158519909,-0.417796254,-0.565155387,0.741,0.777,0.629,0.66,43.917,5.53,3060631,3994,63.9,74.17,5
Aruba,100,1.276849508,1.164567828,0.88769412,-1.123272777,1.036310434,1.014231563,0.79,0.777,0.629,0.66,43.917,5.53,101484,24713,43,81,5
Azerbaijan,1702,-1.479175925,-0.559909523,-0.305417299,-0.268493652,-0.696949005,-1.022490263,0.758,0.777,0.629,0.66,43.917,5.53,8536700,17100,53,76,5
Bahrain,1365,-1.311059237,-0.907474875,0.561928749,0.704518795,0.413401127,0.273521841,0.824,0.777,0.629,0.66,43.917,5.53,1234571,24606,89,77,5
Bangladesh,3567.83,-0.473918706,-0.895563185,-0.773857713,-0.955160499,-0.782509089,-0.892129958,0.579,0.788,0.451,0.547,59.7,1.313743,154517385,3511.646,33.535,71.231,5
Barbados,112,1.145087719,1.277919888,1.19994545,0.335401326,1.080372453,1.133456349,0.793,0.777,0.629,0.66,43.917,5.53,273925,15726,13,76,5
Belarus,1717,-1.442869425,0.179782152,-0.480019152,-1.099450231,-0.815033615,-0.234706506,0.798,0.777,0.629,0.66,43.917,5.53,9469200,17400,79,73,5
Belize,62,0.520108461,0.048583075,-0.543264508,-0.461533755,-0.814310551,-0.159106821,0.706,0.777,0.629,0.66,43.917,5.53,304106,8593,53,74,5
Benin,273,0.264593005,0.027139762,-0.486698359,-0.620842099,-0.485179126,-0.669143796,0.485,0.777,0.629,0.66,43.917,5.53,10879828,824.07,45.7,59,5
Bhutan,6.75,-0.1029386,1.068038583,0.295157015,-1.014745593,0.417663902,1.306128979,0.607,0.777,0.629,0.66,43.917,5.53,708427,7463,38,70,5
Bolivia,898,-0.026304649,-0.333112091,-0.586189091,-0.886673927,-1.058175683,-0.628422022,0.69,0.768,0.66,0.648,54.66,2.155266,10706517,7730.638,68.047,69.891,5
Bosnia and Herzegovina,1151,-0.070960574,-0.019179042,-0.48677516,-0.041672681,-0.13222298,-0.299684912,0.758,0.873,0.687,0.727,18.47,3.3682,3482106,12066.59,46.84,76.723,5
Botswana,88,0.447524369,1.011847138,0.295623541,0.764807999,0.539543569,0.813040078,0.711,0.712,0.653,0.774,23.31,0.6297557,2088619,17264.4,66.368,66.265,5
Brazil,24806,0.471947551,-0.070290133,-0.181397632,-0.028219953,-0.052719016,-0.365745902,0.756,0.842,0.674,0.761,25.89,0.037928,202763744,15749.51,85.492,74.745,5
Brunei Darussalam,527,-0.625015438,1.261507034,1.081873417,0.980604351,0.472058415,0.526151538,0.853,0.777,0.629,0.66,43.917,5.53,393162,18804,80,76,5
Bulgaria,4889,0.366481721,0.078540899,-0.11380437,0.585273623,-0.081918642,-0.302766591,0.806,0.838,0.793,0.789,8.679999,0,7223938,18747.37,73.651,74.4659,5
Burkina Faso,416,-0.352517307,-0.787128568,-0.591082871,-0.340953946,-0.545646906,-0.466464132,0.413,0.607,0.264,0.44,87.16,8.422566,17586029,1907.949,26.934,59.45,5
Burundi,44,-1.042564631,-0.784407139,-1.151783228,-0.733122706,-0.970426798,-1.267834663,0.404,0.777,0.629,0.66,43.917,5.53,10557259,271.82,11.9,57,5
Cambodia,1227,-1.107745647,0.023174802,-0.693109095,-0.439880818,-0.954109788,-1.146749973,0.565,0.743,0.465,0.523,56.33,5.072034,15274506,3364.278,21.799,68.273,5
Cameroon,1158,-0.944473267,-1.059252381,-0.810280144,-0.898471713,-0.89759171,-1.178454518,0.54,0.571,0.522,0.53,74.39,2.467232,22681853,3362.665,53.976,57.083,5
Central African Republic,22,-1.391003728,-2.699193239,-1.8873595,-1.389235854,-1.706067681,-1.166350484,0.352,0.777,0.629,0.66,43.917,5.53,4546100,822,41,52,5
Chile,6606,1.055939794,0.447516918,1.036063433,1.484589577,1.34896946,1.441059232,0.837,0.915,0.783,0.818,21.68,0.0980128,17758969,24173.06,87.303,79.504,5
China,251903,-1.616667509,-0.522584021,0.345973432,-0.331334412,-0.396166623,-0.337421417,0.727,0.777,0.629,0.66,43.917,5.53,1338612968,7590,54,76,5
Colombia,5194,-0.043301202,-1.114594102,-0.137135625,0.444412023,-0.251975983,-0.397179246,0.753,0.867,0.664,0.742,47.21,0.3310463,46967706,13852.24,79.415,76.322,5
Comoros,12,-0.29212898,-0.186910167,-1.738213301,-1.123272777,-0.898310542,-0.586587667,0.498,0.777,0.629,0.66,43.917,5.53,752438,607,28,61,5
Costa Rica,2390,1.138371944,0.577418208,0.359661102,0.656426251,0.583418787,0.725670099,0.796,0.914,0.712,0.775,21.02,0.1093857,4795390,18669.1,75.941,79.398,5
Croatia,3075,0.514960289,0.619112372,0.678440213,0.276575357,0.218247041,0.201164097,0.835,0.888,0.797,0.823,10.4,0,4238389,23782.5,55.923,77.4781,5
Djibouti,33,-1.431368828,-0.77023226,-1.016221881,-0.575449884,-0.875662029,-0.596591592,0.466,0.777,0.629,0.66,43.917,5.53,818159,1984,79,64,5
Dominica,14.333,1.067081213,1.05717814,0.159368187,0.282481492,0.550097764,0.69083339,0.724,0.777,0.629,0.66,43.917,5.53,73746,7693,71,75,5
Dominican Republic,2196,0.188977703,0.145934492,-0.461171865,0.033338461,-0.38400799,-0.841781139,0.73,0.815,0.641,0.744,41.17,0.2599797,10165182,14499.63,77.67,73.003,5
Ecuador,2779,-0.202451646,-0.018533209,-0.382538944,-0.920283794,-0.97051096,-0.740625322,0.756,0.86,0.695,0.722,39.54,0.164748,15951832,12078.47,63.261,75.923,5
Egypt,6743,0.640374124,-0.146388963,0.164872631,0.230833724,0.155454814,-0.124875419,0.685,0.786,0.586,0.697,25.46,1.18579,90424668,10353.67,42.839,71.117,5
El Salvador,1070,0.152619869,-0.024590004,-0.02754074,0.222213238,-0.469058067,-0.374780744,0.668,0.803,0.568,0.655,35.39,0.4549119,6295124,7990.459,68.874,72.175,5
Ethiopia,402,-1.284414291,-1.339387417,-0.436862171,-1.078414083,-0.468450874,-0.447899312,0.455,0.685,0.323,0.424,87.02,6.462309,98094264,1656.635,18.998,64.547,5
Fiji,319,-0.176620543,0.553164601,-0.401604831,-0.256007999,-0.514017463,0.38520658,0.727,0.777,0.629,0.66,43.917,5.53,837271,5901,54,73,5
Gabon,451,-0.866108179,0.149542809,-0.606391788,-0.693132579,-0.472979218,-0.67763567,0.674,0.777,0.629,0.66,43.917,5.53,1545255,19156,87,65,5
Georgia,575,0.284683943,-0.321507543,0.430173784,0.760027528,0.224652022,0.828557551,0.783,0.811,0.816,0.725,54.73,3.240521,3719414,12254.65,57.067,72.707,5
Ghana,1443,0.461645961,-0.106807962,-0.311548889,-0.047670737,0.063672259,-0.194918543,0.59,0.653,0.545,0.576,70.27,2.163188,27224480,4670.245,53.419,62.416,5
Guatemala,2066,-0.33758685,-0.655563533,-0.762473464,-0.284290075,-0.956078649,-0.756130755,0.648,0.814,0.51,0.657,37.77,0.4967401,15306316,7939.375,49.634,72.935,5
Guinea,243,-0.857567132,-0.955242753,-1.243937969,-1.069671392,-1.367539644,-1.06706202,0.414,0.777,0.629,0.66,43.917,5.53,10221808,1199,35,59,5
Guyana,222,0.156046495,-0.136097595,-0.222436294,-0.528059959,-0.61473,-0.740717888,0.636,0.777,0.629,0.66,43.917,5.53,746900,4614,28,67,5
Honduras,919,-0.409179151,-0.534083962,-0.816930711,-0.408311367,-0.942938149,-0.787135541,0.616,0.835,0.479,0.584,38.88,3.336932,8955579,5177.415,54.514,74.278,5
Hungary,22757,0.553286672,0.669904828,0.5911237,0.747946262,0.509287119,0.156834021,0.838,0.857,0.821,0.836,5.83,0,9866468,26424.72,70.227,75.7634,5
India,29628,0.41331318,-0.99791199,-0.225482807,-0.475076437,-0.068644837,-0.457155108,0.616,0.743,0.53,0.592,77.83,0.1484763,1295600768,5116.629,32.384,68.286,5
Indonesia,17,0.153921664,-0.416824043,-0.06490989,-0.00835875,-0.310617834,-0.597599149,0.69,0.777,0.615,0.687,49.73,-0.0443628,255128076,9801.166,52.635,70.481,5
Iraq,36,-1.144253254,-2.480337858,-1.056168675,-1.133842707,-1.448244214,-1.363342285,0.654,0.777,0.629,0.66,43.917,5.53,29671605,1713,70,68,5
Jamaica,453,0.5625934,0.024492532,0.20426558,0.073607624,-0.236792937,-0.325509161,0.719,0.777,0.629,0.66,43.917,5.53,2702000,5398,54,74,5
Jordan,1399,-0.753637075,-0.540025532,0.14249149,0.099131204,0.467406094,0.13543418,0.729,0.83,0.672,0.696,9.78,7.403499,8918822,10284.67,90,73.969,5
Kazakhstan,2949,-1.18391645,0.036018156,-0.074625477,-0.239125565,-0.609330893,-0.82542944,0.798,0.777,0.806,0.813,27.07,0.0467002,17288285,24355.76,57.118,71.44,5
Kenya,1018.86,-0.145544812,-1.282247186,-0.357425809,-0.348395675,-0.411822498,-0.938904762,0.58,0.679,0.528,0.544,54.72,4.392602,46700063,3709.153,25.221,64.135,5
Kiribati,3,0.939728677,0.801865816,-0.566989005,-0.930841029,-0.105000816,0.288614959,0.626,0.777,0.629,0.66,43.917,5.53,102697,1647,46,68,5
Kuwait,2541,-0.657450438,0.149006546,-0.14966099,-0.147546113,0.023226205,-0.24606809,0.803,0.777,0.629,0.66,43.917,5.53,2818042,27133,100,79,5
Lebanon,1948,-0.420295924,-1.697941303,-0.248904824,-0.295429081,-0.720965028,-1.042205453,0.748,0.904,0.598,0.774,26.8,1.724014,6261046,16970.44,87.947,78.732,5
Lesotho,56,0.162016585,-0.332812041,-0.592783272,-0.444160998,-0.209582657,0.199733451,0.498,0.46,0.515,0.52,49.08,3.940621,2043448,2639.446,26.502,49.891,5
Libya,1442,-1.112040639,-2.353407145,-1.517522573,-2.09778738,-1.389462471,-1.52100122,0.724,0.777,0.629,0.66,43.917,5.53,6461454,7332,78,75,5
Madagascar,391,-0.500149727,-0.557235837,-1.327242017,-0.716764987,-0.736539125,-0.842870653,0.498,0.777,0.629,0.66,43.917,5.53,21281844,1476,35,67,5
Malawi,189,-0.06420669,0.081093207,-0.659877241,-0.819636703,-0.288721323,-0.761226177,0.465,0.631,0.456,0.349,60.05,15.81668,16289550,1432.055,16.132,61.042,5
Malaysia,29157,-0.360291034,0.266619146,1.160819769,0.799231291,0.524190724,0.396689087,0.791,0.85,0.708,0.822,20.89,0.0060941,29866606,23906.23,73.577,75.268,5
Maldives,125,-0.372204363,0.679096162,-0.339784145,-0.374468446,-0.520292759,-0.364196092,0.719,0.777,0.629,0.66,43.917,5.53,319738,21567,100,77,5
Mali,231.6,-0.161109298,-1.713988781,-1.088420153,-0.633841455,-0.635085225,-0.750901997,0.419,0.57,0.285,0.454,81.94,8.840052,16934213,2075.401,39.196,57.036,5
Mauritania,189,-0.895695508,-0.589508355,-0.99146378,-0.832643926,-0.873080671,-0.932531476,0.52,0.777,0.629,0.66,43.917,5.53,3205060,430,39,61,5
Mauritius,461,0.939650774,0.667965949,1.155632257,1.196946621,0.94889307,0.317963988,0.777,0.777,0.629,0.66,43.917,5.53,1270000,10696,42,74,5
Mexico,22710,0.000331484,-0.853918791,0.138297051,0.359438211,-0.406367481,-0.842649996,0.761,0.845,0.661,0.788,27.99,0.0635115,120355137,18887.57,78.993,74.908,5
Moldova,309,0.011560814,-0.158987761,-0.406121105,0.014869669,-0.244262472,-0.852723837,0.737,0.789,0.713,0.713,31.97,5.011257,2856950,10314.41,42.496,71.267,5
Mongolia,212,0.241462216,0.791901171,-0.429426044,-0.277615696,-0.330959737,-0.471893132,0.732,0.752,0.746,0.698,48.69,2.821356,2940111,10980.32,68.163,68.863,5
Morocco,6228,-0.688516021,-0.446265608,-0.130273983,-0.027915997,-0.130764112,-0.305042803,0.652,0.854,0.511,0.636,50.46,2.08381,34192358,6912.178,60.256,75.477,5
Mozambique,394,-0.246708766,-0.336002737,-0.744948566,-0.435868889,-0.808949351,-0.669381857,0.425,0.555,0.367,0.376,84.09,12.02461,26286192,1217.089,33.878,56.062,5
Myanmar,1925,-1.343989372,-1.087580681,-1.30058372,-1.397878289,-1.194209933,-0.883994281,0.55,0.698,0.431,0.551,62.54,2.41833,52280816,4020.037,29.65,65.378,5
Namibia,247,0.552335262,0.608740628,0.22390613,0.076616585,0.206357837,0.261683822,0.631,0.637,0.565,0.698,30.17,1.829738,2273426,10413.31,45.826,61.425,5
Nepal,93,-0.430445671,-0.72459954,-0.860475302,-0.847787738,-0.649084508,-0.588590503,0.576,0.756,0.499,0.507,78.72,3.831853,26905982,3217.448,18.182,69.168,5
Nicaragua,666,-0.395715714,-0.040780123,-0.840402603,-0.408892065,-0.714282215,-0.887117863,0.649,0.822,0.553,0.6,40.3,3.780177,6142734,5443.278,57.7,73.429,5
Niger,67,-0.194567889,-1.175840497,-0.715861976,-0.743807316,-0.650558889,-0.695217669,0.348,0.777,0.629,0.66,43.917,5.53,15400000,900,20,61,5
Nigeria,2589,-0.587156057,-2.130276442,-1.190599918,-0.837622762,-1.055568933,-1.28350389,0.523,0.503,0.475,0.6,81.35,0.4690465,176404931,5516.386,46.982,52.672,5
North Macedonia,973,-0.141467974,0.256382942,0.016454887,0.421686172,-0.055596132,-0.032469325,0.755,0.851,0.676,0.748,22.77,1.900804,2077495,12298.49,57.284,75.299,5
Oman,1176,-1.090705514,0.734907329,0.263467371,0.688467622,0.485294878,0.304765224,0.702,0.777,0.629,0.66,43.917,5.53,2845000,23811,77,76,5
Pakistan,3782,-0.716015041,-2.401279211,-0.757806361,-0.688540936,-0.750930011,-0.838965237,0.53,0.713,0.365,0.572,59.13,1.504048,195305012,4171.292,35.819,66.36,5
Panama,1090,0.505647838,0.209008202,0.281083971,0.476986915,-0.064788446,-0.36968109,0.789,0.777,0.629,0.66,43.917,5.53,3367000,11625,79,78,5
Papua New Guinea,740,0.012519553,-0.339367092,-0.614890456,-0.354396224,-0.774425447,-0.909913182,0.516,0.777,0.629,0.66,43.917,5.53,6187591,2898,13,67,5
Paraguay,690,-0.102827892,-0.08862751,-0.947512805,-0.205342337,-0.604193926,-1.010692,0.715,0.823,0.624,0.713,37.25,0.160391,6599524,11643.73,60.474,73.473,5
Peru,4072,0.192534193,-0.550656915,-0.326760858,0.47424823,-0.522220552,-0.599589348,0.76,0.854,0.719,0.715,50.57,0.1712585,30090372,11877.08,77.173,75.529,5
Philippines,11770,0.159282863,-0.713820934,0.324305803,0.077303529,-0.369280577,-0.439453065,0.696,0.777,0.661,0.658,39.26,0.2041921,100513137,6973.639,46.093,70.481,5
Poland,51500,1.105138183,0.842940807,0.768318057,1.063315392,0.871664524,0.682209432,0.858,0.886,0.849,0.84,17.22,0,38011735,26649.58,60.403,77.6024,5
Qatar,2386,-1.133430839,0.977457762,0.94070065,0.569621563,0.86247611,0.983825207,0.835,0.918,0.634,1,0.15,0,2459202,95578.26,98.868,79.646,5
Romania,13282,0.428146094,0.049136128,0.22602801,0.600805342,0.242191851,-0.223876476,0.811,0.85,0.765,0.821,30.93,0,19908979,23084.38,53.9,74.9098,5
Russian Federation,35333,-1.044404387,-0.943617463,-0.187570468,-0.402516544,-0.772919178,-0.918525219,0.807,0.785,0.801,0.835,5.85,0,143819667,26057.16,73.95,70.7437,5
Rwanda,65,-1.112191081,-0.313469648,-0.048807293,0.185563326,0.070237465,0.77630049,0.521,0.721,0.453,0.432,69.25,12.85376,11083629,1780.145,16.967,66.884,5
Samoa,29,0.665051103,1.12190485,0.584227979,-0.207312658,0.797605693,0.358953506,0.702,0.777,0.629,0.66,43.917,5.53,187820,5679,87,73,5
Saudi Arabia,13981,-1.882015347,-0.285844654,0.205546021,-0.006104905,0.132624105,0.081855386,0.837,0.777,0.629,0.66,43.917,5.53,27362214,24553,84,75,5
Senegal,724,0.291716129,-0.198223099,-0.407872409,-0.26208818,-0.075510599,0.058830507,0.499,0.713,0.345,0.504,66.67,5.709102,14174740,2868.316,45.436,66.37,5
Seychelles,68,-0.049818363,0.361632437,0.511074126,-0.26845476,0.250029027,0.577941358,0.782,0.777,0.629,0.66,43.917,5.53,86000,16214,56,74,5
Sierra Leone,56,-0.287112534,-0.104039676,-1.252800226,-0.822831988,-0.935593963,-0.94812119,0.438,0.498,0.374,0.45,86.24,18.66835,7017153,1997.509,40.432,52.372,5
Solomon Islands,11,0.226587132,0.470224828,-1.122837424,-1.100647211,-0.490208209,-0.266557604,0.515,0.777,0.629,0.66,43.917,5.53,515870,1902,23,71,5
South Africa,10731,0.640374124,-0.146388963,0.164872631,0.230833724,0.155454814,-0.124875419,0.693,0.646,0.705,0.73,8.830001,0.3154527,54544184,12884.48,64.312,61.968,5
Sri Lanka,1885,-0.667191744,-0.330464035,0.07425952,-0.10895326,-0.149271369,-0.345142692,0.773,0.864,0.749,0.713,40.83,0.6339657,20778000,11428.11,18.218,76.147,5
Suriname,154,0.516915023,0.249270841,-0.177114308,-0.634206414,-0.136010766,-0.449199259,0.72,0.777,0.629,0.66,43.917,5.53,524000,16809,71,71,5
Tanzania,667,-0.193400815,-0.597118556,-0.658473551,-0.363270283,-0.400824994,-0.761074305,0.504,0.651,0.418,0.47,83.95,5.393808,49960563,2284.962,30.904,62.288,5
Thailand,24587,-0.874775231,-0.906386316,0.268278122,0.174806476,-0.220252082,-0.48051998,0.742,0.858,0.629,0.758,49.68,0.0917512,68438748,15854.13,46.943,75.747,5
Timor-Leste,15,0.148797348,-0.179694876,-1.214188099,-0.905718267,-1.112548113,-0.529522896,0.62,0.742,0.498,0.645,68.01,7.476829,1174333,3264.563,29.133,68.197,5
Togo,479,-0.766805112,-0.167126864,-1.271079183,-0.8451882,-0.8583318,-0.899913251,0.483,0.777,0.629,0.66,43.917,5.53,6191155,1099,39,58,5
Tonga,12,0.663734496,0.84719646,-0.006138959,-0.427611589,-0.160119161,-0.27302438,0.717,0.777,0.629,0.66,43.917,5.53,104000,4099,24,73,5
Trinidad and Tobago,1616,0.473105401,0.247864336,0.335453808,0.145356745,-0.106046513,-0.464409143,0.785,0.812,0.704,0.845,16.76,0,1362337,28796.56,53.413,72.768,5
Tunisia,5112,0.192949355,-0.851661503,-0.063872755,-0.339506477,-0.068618946,-0.018725784,0.726,0.857,0.64,0.697,20.06,2.008993,11063195,10498.85,67.772,75.734,5
Turkey,26469,0.640374124,-0.146388963,0.164872631,0.230833724,0.155454814,-0.124875419,0.796,0.864,0.7,0.832,29.42,0.3703228,77229262,24881.73,73.077,76.172,5
Uganda,272,-0.585784256,-0.941126168,-0.542870998,-0.256649405,-0.394620955,-1.097377181,0.519,0.626,0.495,0.451,75.24001,5.126789,36911530,2022.295,21.504,60.669,5
Ukraine,4925,-0.142217666,-2.020833492,-0.397417575,-0.586776257,-0.829405069,-1.024342418,0.771,0.789,0.8,0.726,14.61,1.063685,45272155,12408.95,68.968,71.1866,5
United Arab Emirates,12558,-1.061362982,0.768908918,1.430154562,0.987515152,0.651266217,1.19904685,0.836,0.777,0.629,0.66,43.917,5.53,8264070,43720,85,78,5
Uruguay,875,1.107888818,0.991879582,0.428697258,0.723710597,0.761916339,1.388391733,0.803,0.881,0.741,0.795,22.37,0.1711639,3400439,22419.04,94.945,77.244,5
Uzbekistan,574.5,-1.913254142,-0.273108631,-0.624362528,-1.729825616,-1.134198904,-1.194444299,0.68,0.777,0.629,0.66,43.917,5.53,27865738,619,51,73,5
Vanuatu,20,0.591261208,0.636045277,-0.517081976,-0.325082302,0.230402738,0.476412117,0.597,0.777,0.629,0.66,43.917,5.53,215000,2888,31,73,5
Venezuela,3020,-0.194567889,-1.175840497,-0.715861976,-0.743807316,-0.650558889,-0.695217669,0.775,0.812,0.725,0.791,33.02,0.0090432,30042973,17131.39,88.144,72.762,5
VietNam,18185,-1.374712229,-0.022347357,-0.050733976,-0.602058232,-0.360538632,-0.438092947,0.683,0.847,0.613,0.614,62.24,2.376863,91713850,6098.539,33.115,75.056,5
Yemen,438,-0.194567889,-1.175840497,-0.715861976,-0.743807316,-0.650558889,-0.695217669,0.502,0.709,0.343,0.521,42.44,2.86508,25823488,3828.485,34.165,66.066,5
Zambia,199,-0.109430872,0.156212017,-0.534560144,-0.53390485,-0.224575788,-0.347682625,0.561,0.628,0.532,0.526,77.41,3.752407,15399793,3450.038,41.382,60.831,5
Zimbabwe,137,-1.256889462,-0.713570178,-1.279023647,-1.892657995,-1.441469073,-1.404366732,0.547,0.591,0.557,0.498,65.8,4.310819,13586710,3195.768,32.504,58.41,5
Afghanistan,6,-1.117556691,-2.571221828,-1.351807714,-1.006208181,-1.49849236,-1.348587155,0.493,0.781,0.657,0.658,44.97,2.77,28803167,599,27,62,6
Albania,595,0.157161772,0.34612906,0.059288189,0.189514965,-0.298862904,-0.520959854,0.788,0.893,0.753,0.727,56.46,2.909116,2880703,11878.49,57.434,78.025,6
Algeria,4996,-0.847575545,-1.090159774,-0.377993971,-1.233237743,-0.927119017,-0.616887093,0.74,0.863,0.659,0.712,26.99,0.0440326,39728020,11696.96,70.848,76.09,6
Angola,1285,-1.177087069,-0.500897765,-0.893182993,-0.84234482,-1.013800979,-1.409269571,0.572,0.606,0.472,0.655,71.15,0.3446127,27884380,8036.411,63.446,59.398,6
Antigua and Barbuda,28,0.595008314,1.004724503,0.225600779,0.370155632,0.586109579,0.685850799,0.778,0.781,0.657,0.658,44.97,2.77,86754,1593,26,75,6
Argentina,5581,0.411802024,0.01478538,-0.016539078,-0.876747191,-0.731063604,-0.557244956,0.84,0.863,0.832,0.824,20.43,-0.0032387,43131966,23933.89,91.503,76.068,6
Armenia,151,-0.536284149,-0.252332628,-0.276716083,0.201865211,-0.445906013,-0.584427893,0.768,0.838,0.75,0.72,41.89,3.16416,2925559,11321.33,63.085,74.467,6
Aruba,84,1.273960948,1.230921268,0.880507171,-1.069913149,1.255770087,1.294156194,0.798,0.781,0.657,0.658,44.97,2.77,101484,40493,44,82,6
Azerbaijan,1237,-1.552383304,-0.729565561,-0.218868449,-0.353247523,-0.699357688,-0.930738151,0.758,0.781,0.657,0.658,44.97,2.77,8536700,17410,53,76,6
Bahrain,922,-1.313060999,-1.073540211,0.557333231,0.815443456,0.421636015,0.134317711,0.824,0.781,0.657,0.658,44.97,2.77,1234571,24606,89,76,6
Bangladesh,4982,-0.512037396,-1.212017894,-0.726373553,-0.908241212,-0.759843051,-0.81450671,0.595,0.793,0.479,0.555,58.87,1.248135,156256287,3700.111,34.308,71.514,6
Barbados,135,1.096554518,1.135361314,1.021855712,0.561835468,1.090324402,1.487837434,0.795,0.781,0.657,0.658,44.97,2.77,273925,15726,13,76,6
Belarus,1225,-1.465073943,0.110016517,-0.447351336,-1.143447757,-0.861530781,-0.289550424,0.798,0.781,0.657,0.658,44.97,2.77,9469200,18483,79,73,6
Belize,73,0.578148723,0.043097582,-0.60754776,-0.421569586,-0.775928319,-0.179022163,0.706,0.781,0.657,0.658,44.97,2.77,304106,8573,53,76,6
Benin,189,0.294565856,-0.013513958,-0.651237786,-0.601894319,-0.53855902,-0.534361541,0.532,0.625,0.473,0.51,87.91,3.865473,10575962,2945.97,45.695,60.608,6
Bhutan,6.75,-0.034806281,0.974714994,0.452153057,-0.718258858,0.569636941,1.02705121,0.607,0.781,0.657,0.658,44.97,2.77,708427,8259,39,71,6
Bolivia,964,-0.004657394,-0.268487215,-0.651217341,-0.898342431,-1.151862383,-0.694146633,0.697,0.774,0.666,0.657,56.59,2.482689,10869732,7984.412,68.393,70.277,6
Bosnia and Herzegovina,949,-0.098089233,-0.402437001,-0.589775622,-0.167333737,-0.244013503,-0.391407371,0.761,0.875,0.688,0.734,18.78,2.183479,3429362,12630.66,47.173,76.865,6
Botswana,71,0.450683594,1.042091846,0.479426295,0.564758301,0.506869674,0.813294947,0.717,0.728,0.657,0.769,23.02,0.4692594,2120716,16714.4,67.155,67.338,6
Brazil,20609,0.458866268,-0.331458092,-0.232308552,-0.164282531,-0.166652888,-0.433242053,0.756,0.846,0.677,0.755,26.92,0.0567318,204471759,15064.18,85.77,74.994,6
Brunei Darussalam,452,-0.754139483,1.242662311,1.056566596,0.848141491,0.404601663,0.568516076,0.853,0.781,0.657,0.658,44.97,2.77,393162,28736,80,76,6
Bulgaria,4331,0.432587624,0.017322188,0.016386688,0.591456354,-0.138988808,-0.321295172,0.809,0.84,0.794,0.793,8.46,0,7177991,19620.15,73.99,74.6146,6
Burkina Faso,182,-0.114109591,-0.611107409,-0.647623837,-0.405414432,-0.524443984,-0.273306519,0.422,0.614,0.277,0.441,86.85,8.840688,18110616,1925.332,27.53,59.919,6
Burundi,23,-1.27204144,-1.939510822,-1.208083391,-0.735208213,-1.16793406,-1.266484857,0.437,0.617,0.424,0.319,83.84,11.81407,10160034,825.2057,12.078,60.123,6
Cambodia,1402,-1.122608662,0.061942287,-0.701688945,-0.531640768,-0.981696606,-1.129094005,0.57,0.748,0.468,0.53,52.28,4.007374,15521435,3546.339,22.188,68.637,6
Cameroon,929,-0.954277456,-0.989607453,-0.800239265,-0.915610492,-0.982919514,-1.074164391,0.549,0.578,0.536,0.533,73.93,2.178031,23298376,3458.693,54.578,57.583,6
Central African Republic,13,-1.223749876,-1.904764652,-1.788288116,-1.420393348,-1.694452643,-1.299050212,0.352,0.781,0.657,0.658,44.97,2.77,4546100,369,43,52,6
Chile,6075,1.004505992,0.433439225,0.946688175,1.328295946,1.24576962,1.217123628,0.842,0.918,0.791,0.821,21.5,0.0229656,17969356,24440.42,87.36,79.646,6
China,251790,-1.660773635,-0.550294638,0.43783015,-0.335226595,-0.390619338,-0.274102539,0.738,0.781,0.657,0.658,44.97,2.77,1338612968,8065,56,76,6
Colombia,5216,0.00393945,-1.069146633,-0.06480556,0.421045631,-0.226053253,-0.327314526,0.756,0.87,0.664,0.747,46.87,0.4686404,47520667,14095.75,79.764,76.531,6
